Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone,,,,,,,,,
,,,,,European,North American,South American,ROW,Local,Continental,Qualify Prize,Group Prize,Final Prize,,,,,,,,,,
0,14,England,4.5,15000000,6,0,0,0,3,0,666667,1233333,1433333,0,,,,,,,,,
0,18,France,4.5,15000000,10,0,0,0,2,0,666667,1233333,1333333,1,,,,,,,,,
0,27,Italy,4.5,15000000,8,0,0,0,3,0,666667,1066667,1333333,1,,,,,,,,,
0,45,Spain,4.5,15000000,8,0,0,0,3,0,666667,1166667,1333333,1,,,,,,,,,
0,21,Germany,4.5,15000000,10,0,0,0,2,0,666667,1166667,1433333,1,,,,,,,,,
0,56,Colombia,4.5,20000000,6,2,2,0,2,0,733333,916667,1266667,-5,,,,,,,,,
0,55,Chile,4.5,20000000,5,1,1,0,2,0,666667,1033333,1300000,-4,,,,,,,,,
0,83,Mexico,4.5,20000000,6,1,2,0,2,0,666667,1000000,1166667,-6,,,,,,,,,
0,54,Brazil,5,20000000,7,1,1,0,2,0,833333,1166667,1400000,-3,,,,,,,,,
0,52,Argentina,5,20000000,7,1,1,0,2,0,833333,1166667,1333333,-3,,,,,,,,,
0,183,Saudi Arabia,5,20000000,7,0,0,0,2,0,1000000,1166667,1666667,3,,,,,,,,,
0,167,Korea,5,20000000,7,0,0,1,2,0,1000000,1166667,1333333,9,,,,,,,,,
0,195,Australia,5,20000000,7,0,0,1,2,0,1000000,1166667,1500000,10,,,,,,,,,
0,95,U.S. (MLS),5,20000000,7,0,1,0,2,0,1033333,1400000,1733333,-6,,,,,,,,,
0,163,Japan,5,20000000,7,0,0,1,2,0,1000000,1333333,1666667,9,,,,,,,,,
0,155,China,5,20000000,7,0,0,1,2,0,1000000,1366667,1733333,8,,,,,,,,,
1,83,Mexico,2.5,0,0,4,2,0,4,0,116667,166667,200000,-6,,,,,,,,,
1,95,U.S. (MLS),2.5,2500000,0,2,3,0,4,0,200000,300000,416667,-6,,,,,,,,,
1,56,Colombia,2.5,1000000,0,0,0,0,3,5,133333,173333,300000,-5,,,,,,,,,
1,55,Chile,2.5,2000000,0,0,0,0,3,5,150000,216667,266667,-4,,,,,,,,,
1,52,Argentina,2,2000000,0,0,0,0,4,4,166667,216667,233333,-3,,,,,,,,,
1,56,Colombia,1.5,0,0,0,0,0,4,4,100000,133333,166667,-5,,,,,,,,,
1,55,Chile,1.5,1000000,0,0,0,0,4,4,133333,200000,250000,-4,,,,,,,,,
1,52,Argentina,2,0,0,0,0,0,3,5,113333,160000,183333,-3,,,,,,,,,
1,54,Brazil,2,0,0,0,0,0,3,5,116667,166667,200000,-3,,,,,,,,,
1,54,Brazil,2,2000000,0,0,0,0,4,4,166667,200000,250000,-3,,,,,,,,,
1,183,Saudi Arabia,1,0,0,0,0,0,3,5,126667,173333,200000,3,,,,,,,,,
1,195,Australia,1,0,0,0,0,0,3,5,133333,200000,333333,10,,,,,,,,,
1,167,Korea,2,2100000,0,0,0,0,3,5,166667,250000,400000,9,,,,,,,,,
1,163,Japan,2,0,0,0,0,0,3,5,166667,200000,233333,9,,,,,,,,,
1,155,China,2,0,0,0,0,0,3,5,166667,233333,266667,8,,,,,,,,,
1,14,England,4,8000000,0,0,0,0,3,6,433333,1000000,1233333,0,,,,,,,,,
1,34,Netherlands,4,8000000,0,0,0,0,2,6,500000,833333,1100000,1,,,,,,,,,
1,38,Portugal,4,8000000,0,0,0,0,2,6,433333,1000000,1100000,0,,,,,,,,,
1,21,Germany,4,8000000,0,0,0,0,3,6,433333,1000000,1166667,1,,,,,,,,,
1,47,Switzerland,3.5,3000000,0,0,0,0,2,6,266667,466667,600000,1,,,,,,,,,
1,18,France,3.5,3000000,0,0,0,0,3,6,283333,500000,616667,1,,,,,,,,,
1,27,Italy,3.5,5000000,0,0,0,0,3,6,400000,533333,833333,1,,,,,,,,,
1,45,Spain,3.5,4000000,0,0,0,0,3,6,416667,500000,666667,1,,,,,,,,,
1,7,Belgium,3.5,5000000,0,0,0,0,2,6,400000,533333,733333,1,,,,,,,,,
1,4,Austria,3,3000000,0,0,0,0,2,6,266667,333333,500000,1,,,,,,,,,
1,13,Denmark,3,3000000,0,0,0,0,2,6,266667,400000,533333,1,,,,,,,,,
1,36,Norway,3,3000000,0,0,0,0,2,6,266667,433333,566667,1,,,,,,,,,
1,14,England,3,1000000,0,0,0,0,3,6,243333,306667,450000,0,,,,,,,,,
1,46,Sweden,3,1000000,0,0,0,0,2,6,233333,283333,433333,1,,,,,,,,,
1,48,Turkey,3,1000000,0,0,0,0,4,6,210000,273333,416667,3,,,,,,,,,
1,34,Netherlands,2.5,1000000,0,0,0,0,3,6,183333,266667,400000,1,,,,,,,,,
1,27,Italy,2.5,1000000,0,0,0,0,4,6,160000,226667,346667,1,,,,,,,,,
1,21,Germany,2.5,1000000,0,0,0,0,4,6,173333,243333,366667,1,,,,,,,,,
1,7,Belgium,2.5,1000000,0,0,0,0,3,6,180000,250000,383333,1,,,,,,,,,
1,45,Spain,2,0,0,0,0,0,4,6,126667,193333,233333,1,,,,,,,,,
1,47,Switzerland,2,1000000,0,0,0,0,3,6,150000,216667,266667,1,,,,,,,,,
1,4,Austria,2,0,0,0,0,0,3,6,143333,200000,240000,1,,,,,,,,,
1,18,France,2,1000000,0,0,0,0,4,6,150000,216667,333333,1,,,,,,,,,
1,38,Portugal,1.5,0,0,0,0,0,3,6,100000,150000,183333,0,,,,,,,,,
1,48,Turkey,1.5,0,0,0,0,0,3,6,110000,156667,193333,3,,,,,,,,,
1,13,Denmark,1.5,0,0,0,0,0,3,6,116667,166667,200000,1,,,,,,,,,
1,27,Italy,1.5,0,0,0,0,0,4,4,133333,183333,200000,1,,,,,,,,,
1,21,Germany,1,0,0,0,0,0,3,6,100000,150000,166667,1,,,,,,,,,
1,34,Netherlands,1,0,0,0,0,0,3,6,100000,133333,166667,1,,,,,,,,,
1,46,Sweden,1,0,0,0,0,0,3,6,80000,120000,150000,1,,,,,,,,,
1,4,Austria,1,0,0,0,0,0,3,6,93333,126667,163333,1,,,,,,,,,
1,25,Republic of Ireland,0.5,0,0,0,0,0,4,4,76667,116667,133333,0,,,,,,,,,
1,45,Spain,0.5,0,0,0,0,0,4,6,80000,113333,126667,1,,,,,,,,,
1,14,England,0.5,0,0,0,0,0,6,10,76667,110000,123333,0,,,,,,,,,
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,100000,150000,183333,-6,,,,,,,,,
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,110000,156667,193333,-6,,,,,,,,,
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,166667,233333,383333,-6,,,,,,,,,
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,166667,250000,416667,-6,,,,,,,,,
2,14,England,2,0,0,0,0,0,20,0,133333,200000,333333,0,,,,,,,,,
2,55,Chile,1.5,0,0,0,0,0,5,3,73333,116667,133333,-4,,,,,,,,,
2,55,Chile,1.5,0,0,0,0,0,4,4,80000,120000,150000,-4,,,,,,,,,
2,55,Chile,1.5,0,0,0,0,0,6,2,93333,126667,150000,-4,,,,,,,,,
2,56,Colombia,1,0,0,0,0,0,5,3,73333,116667,133333,-5,,,,,,,,,
2,56,Colombia,1,0,0,0,0,0,4,4,80000,120000,150000,-5,,,,,,,,,
2,56,Colombia,1,0,0,0,0,0,6,2,93333,126667,150000,-5,,,,,,,,,
2,52,Argentina,1.5,0,0,0,0,0,5,3,76667,116667,133333,-3,,,,,,,,,
2,52,Argentina,1.5,0,0,0,0,0,4,4,80000,113333,126667,-3,,,,,,,,,
2,52,Argentina,1.5,0,0,0,0,0,6,2,76667,110000,123333,-3,,,,,,,,,
2,54,Brazil,2,0,0,0,0,0,5,3,76667,116667,133333,-3,,,,,,,,,
2,54,Brazil,2,0,0,0,0,0,4,4,80000,113333,126667,-3,,,,,,,,,
2,54,Brazil,2,0,0,0,0,0,6,2,76667,110000,123333,-3,,,,,,,,,
2,163,Japan,2,0,0,0,0,0,3,5,166667,233333,383333,9,,,,,,,,,
2,163,Japan,2,0,0,0,0,0,3,5,150000,216667,366667,9,,,,,,,,,
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,166667,233333,383333,3,,,,,,,,,
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,150000,216667,366667,3,,,,,,,,,
2,195,Australia,1,0,0,0,0,0,3,5,100000,150000,183333,10,,,,,,,,,
2,195,Australia,1,0,0,0,0,0,3,5,110000,156667,193333,10,,,,,,,,,
2,167,Korea,1,0,0,0,0,0,3,5,116667,183333,233333,9,,,,,,,,,
2,167,Korea,1,0,0,0,0,0,3,5,133333,200000,250000,9,,,,,,,,,
2,155,China,1,0,0,0,0,0,3,5,166667,250000,416667,8,,,,,,,,,
2,155,China,1,0,0,0,0,0,3,5,166667,233333,366667,8,,,,,,,,,
2,*,Any,0.5,0,0,0,0,0,3,6,60000,106667,116667,0,,,,,,,,,
2,*,Any,0.5,0,0,0,0,0,3,6,63333,106667,120000,0,,,,,,,,,
2,*,Any,0.5,0,0,0,0,0,3,6,63333,103333,110000,0,,,,,,,,,
